snd	0.0021283626556396484	0	500	0	
RTX	1.002795934677124	0	500	0	
rcv	1.003110408782959	0	0	500	
snd	1.0032265186309814	500	500	500	
RTX	2.004456043243408	500	500	500	
rcv	2.0046308040618896	500	0	1000	
snd	2.004697799682617	1000	500	1000	
rcv	2.0048537254333496	1000	0	1500	
snd	2.0049164295196533	1500	500	1500	
rcv	2.0050766468048096	1500	0	2000	
snd	2.0051422119140625	2000	500	2000	
RTX	3.0063483715057373	2000	500	2000	
rcv	3.0066304206848145	2000	0	2500	
snd	3.0067555904388428	2500	132	2500	
RTX	4.008047342300415	2500	132	2500	
rcv	4.008373498916626	2500	0	2632	
